Tweets,Category
hey rishi sorry to hear about your experience kindly share your registered details with us via direct message also please share a few details regarding your trip we will get back to you,1
hey pankaj we have adjusted the fare and have sent a response your way please check the help section of the app and if you have any fuher queries kindly reve to the same suppo message our team will get in touch,1
hey akram could you please share your registered phone number via a direct message well look into it,1
hey gajendra sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hi karan we understand this can be upsetting driver paners are encouraged to complete accept every trip request as long as the drop off location is within our service area please drop us a note via the help section of your app well take this up,1
hey anchal we hope you were able to take this trip if you were charged a cancellation fee kindly share your registered details with us via direct message we will follow up,1
hey there sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey there sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
sorry to hear about your experience hemant please share the registered phone number from which the trip was requested via direct message and drop us a note via the help section of your app,1
hey amitabha we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey naveen we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey vinay sorry to hear about the trouble could you please help us with a screenshot of the error you are receiving when you try to login we will get back to you,0
hey abhishek sorry to hear about the trouble could you confirm the email address on which you are receiving the suppo messages via direct message we will follow up,0
hey sucharita in case if youve any concerns about a paicular trip please send across your phone number via direct message and drop us a note via the help section of your app with the trip in reference well get it addressed,1
hey atit sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey there sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey aditi we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey shikha we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey there sorry to hear that your pickup wasnt as smooth as wed want it to be based on your feedback weve made a note on our point based model which will help us take necessary actions please be assured that were striving to improve your experience with us constantly,1
hey anshu sorry to hear youve left your phone in an uber wed like to address this for you kindly share the registered details from which the trip was requested via direct message we will follow up,1
hi dyuti were sorry to hear about this experience please raise this concern via the help section of the app and share your registered number via direct message well pick it up from there and take the necessary actions to improve your experience with us,1
hi kanwaldeep were sorry to hear about this experience please raise this concern via the help section of the app and share your registered number via direct message well pick it up from there and take the necessary actions to improve your experience with us,1
hey kaif we have sent a response your way please check the help section of the app for fuher details,1
hey rishi based on your feedback weve reviewed the issue and sent an update your way please refer to the inapp help section for fuher details and reve to the same thread for any fuher queries well be happy to help,1
hey there sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey hemant we have addressed the concern and sent an update your way please check the help section on your uber app,1
hey vijai sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey prashant were sorry to know that your pickup took longer than expected based on your feedback weve made a note on our point based model which will help us take necessary actions please be assured that were striving to improve your experience with us constantly,1
hey debajit sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey vineet sorry to hear about the trouble please drop us a note via the help section of the app and we will have this addressed also share your registered contact details via direct message,1
hey mohit sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey sovan were sorry to hear about the trouble here we would like to have this addressed for you please share your registered contact details via direct message and well look into it at the earliest,1
hey dinakar we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey vivek we request you to please update the uber app this would ideally resolve the issue youre facing to update the uber appgt go to play store or app storegt search for ubergt update the app please let us know if the issue persists and well be happy to help,1
hey there sorry to hear about the trouble please drop us a note via the help section of the app and we will have this addressed also share your registered contact details via direct message,1
hey there we have addressed this issue and have sent a response your way please check the help section of the app and if you have any fuher queries kindly reve to the same suppo message our team will get in touch,1
hey weve sent you a response and you can view the same under the help section of your app please reve on the same thread for fuher assistance,1
hey anshul sorry to hear about the hassle please allow us some time as were looking into this and will get back to you with an update at the earliest appreciate your understanding,1
hey subash weve refunded the cancellation fee for you and sent a response your way please check the help section of the app for an update,1
hey there this ceainly isnt the intended experience for us to assist you better kindly drop us a note via the help section of your app with the concerned trip in reference well look into it,1
hey there for us to assist you better kindly help us with your registered mobile number over direct message and also drop us a note via the help section of your app with the concerned trip in reference well look into it,1
hey weve sent you a response and you can view the same under the help section of your app,0
hey there we would like to address this for you could you please provide us your registered contact details along with the trip details like the date and time via direct message so that we can get this addressed,1
hey vamshi weve made a note of your feedback and have passed it on to the relevant team thank you for bringing this to our notice,1
hey could you please elaborate your concern also please share your registered mobile number via a direct message,1
hey how can we assist you,1
hey saurabh we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey weve sent you a response and you can view the same under the help section of your app and your registered email id as well,1
we do monitor such instances on a timely basis and take appropriate actions also weve made a note about your feedback and will forward the same to the concerned team so we can have this looked into,1
hey sai sorry to hear about the trouble please drop us a note via the inapp help section along with the trip in reference also share your registered phone number and email id via direct message we shall pick this up immediately,1
hey paah sorry to hear about the hassle could you please drop us a note via the help section of your app if you havent done so alreadywell get in touch,0
hey olivia can you please let us know the date and time of the trip so we can have your issue addressed,1
hey shivani we understand that this can be upsetting this is not the kind of experience we wish you to have please share your registered email id phone number and trip details through direct message well resolve this at the earliest,1
hey yogesh please share the registered mobile number along with the details of the trip well look into it,1
hey mayank sorry to hear about the hassle could you please share your registered mobile number via direct message well get in touch,1
weve fixed this for you and processed the refund weve sent you an update and you can view the same under the help section of your app,1
hey weve sent you a response and you can view the same under the help section of your app,0
hey anshu weve looked into this issue and have sent a response your way please check for the same under the help section of the app,1
hey shashwat sorry to hear about the trouble with your fare please drop us a note via the help section of the app and direct message us your registered contact details we will address your concern,0
hey abhishek sorry to hear about the lost item please share the details of the trip well check on this and follow up with you,1
hey rini sorry to hear about the trouble wed like to have this addressed please repo this via the inapp help section also provide us with your registered phone number and email address via direct message well look into this for you,1
hey we understand this can be upsetting were always here to help you please share your registered details via direct message and drop us a note via the help section of the app well fix this for you,1
were sorry to hear about this experience shekhar please drop us a note via the help section of the app so we can have this issue addressed and take appropriate actions also please share your registered contact number and email id via direct message,1
hey ishan this is concerning please provide us with your registered phone number and email address via direct message,1
hey there sorry to hear about the trouble please drop us a note via the help section of your app also share your registered mobile number via direct message well look into it,1
hey shweta we are sorry to hear that your driver had to cancel if you have been charged a cancellation fee wrongly kindly drop a note via the help section of the app and share with us the registered email id and contact number we will have this addressed at the earliest,0
hey niraj sorry to hear about the hassle could you please drop us a note via the help section of your app if you havent done so already and share your registered mobile number via direct message well get in touch,1
hey mohit we are unable to locate your inapp query kindly drop us a note via the help section of your app with the trip in reference and we will have this addressed,0
hi there we understand your concern in order to clear the outstanding charge please reinstall the app and try requesting for a ride a pay now screen will pop up prompting you to clear the charge,1
sorry for the trouble yogesh our team is aware of the issue and were working to get back up and running as quickly as possible,0
hey babji sorry to hear about the trouble kindly share the registered details via direct message also please drop us a note via the inapp help section of your uber app we will follow up,1
hey pradosh could you please share your registered email id and phone number via a direct message well look into it,1
hey pah weve fixed this for you we also see that a response has been sent your way please check the help section of your app and kindly reve to the same email thread in case of any fuher concern,1
hey sourav were sorry to hear about the trouble here we would like to have this addressed for you please drop us a note via the help section of your app with the concerned trip or do share the date and time of the trip in reference and well look into it at the earliest,1
hey nikhil sorry to hear about the troublewe are not able to locate any inapp query with the mobile number you have shared could you please help us with the specific date and time of the trip we shall pick this up immediately,1
hey akhilesh we see that you have multiple accounts on our platform please note that uber works best with one account wed request you to share your primary account details so that we can retain that and deletemerge the others,1
hi rohith we understand this can be upsetting driver paners are encouraged to complete accept every trip request as long as the drop off location is within our service area please drop us a note via the help section of your app well take this up,1
hey rakesh were sorry to hear about the trouble here please drop us a note via the help section of your app with the concerned trip or do share the date and time of the trip in reference and well look into it at the earliest,1
hey atul sorry to hear about the cancellation kindly share the registered details via direct message also please drop us a note via the inapp help section of your uber app we will follow up,1
sorry to hear about the trouble sneha we would like to address this for you could you please provide us your registered contact details via direct message so that we can get this addressed,1
hey sayeed sorry to hear about the trouble please visit the nearest uber office after january 27 2020 and our team will be able to assist you appreciate your understanding,1
hey praveen we send out all promotional offers via textemail hang tight and keep an eye out for a text from us,0
hey mahesh we see that our team has sent a response your way kindly check the inapp help section and let us know if youre able to switch the payment method for the trip in reference we will follow up,1
hey ravi we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey muskaan we see that our team has addressed your concern and processed a refund based on your feedback weve made a note on our point based model which will help us take necessary actions please be assured that were striving to improve your experience with us constantly,1
sorry to hear about the trouble tariq is there a specific trip youd want us to look into please drop us a note via the inapp help section also do share your registered contact details with us via direct message and well follow up,1
hey suchandra wed like to address this for you kindly share your registered details with us via direct message we will follow up,1
hey harish we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey there please share more details with regard to your concern so that we can fuher assist you accordingly,1
this ceainly isnt the intended experience pranesh for us to assist you better kindly help us with your registered mobile number over direct message and also drop us a note via the help section of your app with the concerned trip in reference well look into it,1
hey farheen weve sent an update your way via the inapp help section kindly keep an eye out for it,1
hey there kindly share your registered contact details via direct message and we will look into it,1
hey atul weve fixed this for you and processed a refund kindly check the help section of your app for more details,1
hey pah thank you for taking the time to speak with us we have sent an update your way please check the help section on your uber app,1
we understand your concern rini we do monitor such instances on a timely basis and take appropriate actions also weve made a note about your feedback here we use a pointbased model that records every feedback about a driver paner and helps take fuher actions,1
hey shweta we understand that facing cancellations can be upsetting uber highly values the feedback of its riders and we take what youre saying very seriously we have taken note of your feedback and sent a response your way 12,0
please check the help section of your app for fuher details appreciate your understanding 22,1
hey there we see that our team has adjusted the fare for the trip in reference and has sent an update your way via the inapp help section kindly keep an eye out for it,1
hey neha sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey shivani we understand your concern is regarding the trip fare we have reviewed the trip details and sent a response via direct message please have a look at it,1
hey amit sorry to hear about the trouble kindly share the registered details via direct message also please drop us a note via the inapp help section of your uber app we will follow up,1
hey dipali we streamline all our communication via in app hence please drop us a note via the help section of the app also share the registered details via direct message our team will get in touch,1
hey parikshit sorry to hear youve left your phone in an uber kindly share your registered details from which the trip was requested with us via direct message we will get back to you,1
hey sushma could you please elaborate your concern we will follow up,1
hey poornima sorry to hear about the cancellation kindly share the registered details via direct message also please drop us a note via the inapp help section of your uber app we will follow up,1
hey synjini sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey if there is a specific trip that you would like us to look into please drop us a note via the help section of the app and direct message us your registered contact details we will address your concern,1
hey ashwani sorry to hear about the hassle kindly share your registered contact details via direct message our team will look into it,1
hi tanmay we understand this can be upsetting driver paners are encouraged to complete accept every trip request as long as the drop off location is within our service area please drop us a note via the help section of your app well take this up,1
hey happy to clarify this for you ubergo is a low cost chauffeurdriven hatchback for your every day commute and errands uberauto is a threewheeler for you to have another convenient and affordable option for you to get to your destination appreciate your understanding,1
hey prasanth we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey nancy we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey pranjal wed like to look into this for you could you please share the destination to which you are trying to request an uber to also please share a screenshot of the error you are facing along with your registered details via direct message we will follow up,1
hey sanam we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey shivani weve already adjusted the fare for you and sent a response your way if you still have any issues please share the screenshot of the error our team will get in touch,1
hey rishabh were glad to know that your issue has been resolved and we hope that we could be of help please reach out to us for any fuher concerns,1
hey siddhah we are sorry to hear that you had to pay cash on a noncash trip to fix this we have made a note of your feedback and initiated a refund also weve sent a response in detail via direct message please have a look at it,1
hey mitali weve duly addressed your concerns and an update has been sent your way kindly refer to the help section of your uber app for fuher details,0
weve made a note of your feedback thanks for writing to us,1
hey we understand such issues are never pleasant to deal with please be assured that we monitor such instances on a timely basis and were constantly working on reducing these experiences weve made a note of this and well be bringing it to the concerned teams notice,1
happy to help siddhah hope to see you in an uber soon,1
sorry to hear about the trouble anubhav wed like to have this addressed please repo this via the inapp help section also provide us with your registered phone number and email address via direct message well look into this for you,1
hey nancy our team has recently sent you a message via the inapp help if you have any additional questions please dont hesitate to reply to the message directly well be happy to assist,1
hey anubhav we’ve sent a response your way please check the help section of the app and if you have any fuher queries kindly reve to the same suppo message we will follow up,1
hey there we dont see any trips with the email address shared please share the registered details from which the trip was requested we shall followup,1
hey karan sorry to hear about the trouble please drop us a note via the help section of your app well look into it,1
hey parikshit we see that no email id is linked to your account please share an active id that we can associate to your account this will help us communicate fuher,1
hey kanval we monitor such instances on a regular basis and feedback like yours helps us in taking necessary actions we shall work on the feedback given by you to better our services in the future appreciate your understanding,1
hey sahil sorry to hear about the inconvenience could you please share a screenshot of the error you receive while trying to sign in,0
hey there sorry to hear about the lost item could you please share your registered phone number email id and the item that you lost via direct message we shall look into it,1
hey krishnendu sorry to hear about the trouble kindly share the registered details via direct message also please drop us a note via the inapp help section of your uber app we will follow up,1
hey a minimum balance of inr 350 helps in making your paytm payments seamless this is to ensure theres enough balance to complete the trip and any excess amount is instantly refunded by paytm to your account once the trip is complete,1
hey navneet if there is a specific trip that you would like us to look into please drop us a note via the help section of the app and direct message us your registered contact details we will address your concern,1
hey sorry to hear about the trouble please drop us a note via the help section of the app and direct message us your registered contact details we will address your concern,0
hey anubhav you can also reach out to us viaand our team will follow up,0
hey we could not locate any account with the given contact number please let us know the registered contact number through which the trip was requested via direct message so we can follow up,1
hey durgesh if youve been incorrectly charged please drop us a note via the help section of your app also do share your registered phone number via direct message and our team will follow up,1
hey please drop in a note from the inapp help section and send us your email id via direct message we will look into it,1
hey sahil please drop us a note viawell get this addressed for you,1
hey priya wed like to have this addressed for you please reach out to us atso we can assist you fuher also do share your registered contact details via direct message,1
sorry to hear about the trouble himani please send across your phone number via direct message and drop us a note via the help section of your app well get this addressed,1
hey amit please share your registered contact number via direct message so we can have your issue addressed,1
hey nancy weve addressed this issue for you and have sent a response your way please check for the same under the help section of the app,1
hey yash we understand that this must have been very frustrating this is ceainly what we dont expect as an experience on ubers platformkindly share the registered details via direct message also please drop us a note via the inapp help section well follow up,1
hey rahman sorry to hear about the trouble please drop us a note via the help section of your app also share your registered mobile number via direct message well look into it,1
hey rounak sorry to hear about the trouble please drop us a note via the help section of your app also share your registered mobile number via direct message well look into it,1
hey namrata could you please share your registered mobile number via direct message well look into it,1
hey shalini sorry to hear about the trouble this is definitely not the kind of experience we would like you to have please send across your phone number via direct message and drop us a note via the help section of your app well get this addressed,1
hey amit were expanding our territories and well get there soon hang in tight,1
hey nishant weve adjusted the fare for you and sent a response your way please check the help section of the app for an update,1
hey there sorry to hear about this unpleasant experience this is definitely not the kind of experience we would like you to have on our platform please share your registered details via direct message we will look into this,1
hey vineet could you please elaborate your concern,1
hey abhishek thank your for letting us know about this please share your registered details via direct message and drop us a note viawe will follow up,1
hey rahul sorry to hear about the trouble could you please share your registered phone number via direct message also kindly drop a note viaif you havent done so already,1
sorry to hear about the trouble mohit as mentioned earlier please send across your phone number via direct message and drop us a note via the help section of your app well get this addressed,1
hey ishan based on your feedback weve taken appropriate actions on the driver paners profile and initiated a refund of the fare please refer to the inapp help section for fuher details and reve to the same thread for any fuher queries well be happy to help,1
hey durgesh we understand that this must have been very frustrating your feedback plays an impoant role in helping us extend a positive and pleasant experience rest assured weve made a note of your feedback which will help us improve your experience in the future,1
happy to help nishant hope to see you in an uber soon,1
hey akram request you to visit the nearest paner seva kendra our team will assist you fuher,1
hey there sorry to hear about the trouble kindly let us know if theres a specific trip that you would like us to look into also share the registered details via direct message we will follow up,1
hey danish sorry to hear about this unpleasant experience this is definitely not the kind of experience we would like you to have on our platform please share your registered details via direct message and drop us a note viawe will follow up,1
hi ashish we understand this can be upsetting driver paners are encouraged to complete every trip request as long as the drop off location is within our service area please drop us a note via the help section of your app well take this up,1
hey tanmay in case if youve any concerns about a paicular trip please send across your phone number via direct message and drop us a note via the help section of your app with the trip in reference well get it addressed,1
thanks for taking the time to speak with us ishan weve addressed your concern and you should see an update under the help section of your app,0
sorry to hear about the trouble kumar please drop us a note via the help section of your app well get this addressed,1
hey there sorry to hear about the trouble in case if youve any concerns about a paicular trip please send across your phone number via direct message and drop us a note via the help section of your app with the trip in reference well get it addressed,1
sorry to hear about the trouble aditya please send across your phone number via direct message and drop us a note via the help section of your app well get this addressed,1
hey rishabh while we do accept upi as a valid payment option this facility is rolled out in phases well let you know once you are eligible for this so keep an eye out for our mail,1
hey valar this is concerning please share your contact details and let us know a feasible time so our safety team can connect with you,1
hey jaideep sorry to hear about the trouble kindly share the registered details via direct message also please drop us a note via the inapp help section of your uber app we will follow up,1
sorry to hear about the trouble prasanth we would like to address this for you could you please provide us your registered contact details via direct message so that we can get this addressed,1
hey shubhajeet safety of riders and driverpaners using uber is our priority you can always access the safety toolkit option on your app screen at the end of the day we just want to ensure a safe ride safetyathea,1
hey anirudh sorry to hear about the trouble please go ahead and cancel the trip and book another one also drop us a note via the inapp help section and direct message us your registered contact details well follow up,1
hey anirudh we have addressed the concern and sent an update your way please check the help section on your uber app,1
